journey,current_station,destination_station,stops_remaining,remaining_minutes,sample_count
WAT2WEY,ANF,BCU,2,10.0,1194
WAT2WEY,ANF,BEU,1,4.0,968
WAT2WEY,ANF,BMH,8,37.0,1194
WAT2WEY,ANF,BSM,9,44.0,1141
WAT2WEY,ANF,CHR,6,29.0,1033
WAT2WEY,ANF,DCH,16,83.0,1195
WAT2WEY,ANF,HAM,12,56.0,1195
WAT2WEY,ANF,HNA,5,25.0,1031
WAT2WEY,ANF,HOL,11,52.0,98
WAT2WEY,ANF,MTN,15,76.0,1138
WAT2WEY,ANF,NWM,4,20.0,1034
WAT2WEY,ANF,PKS,10,47.0,1141
WAT2WEY,ANF,POK,7,33.0,1032
WAT2WEY,ANF,POO,11,50.0,1195
WAT2WEY,ANF,SWY,3,16.0,1030
WAT2WEY,ANF,UPW,17,90.0,1143
WAT2WEY,ANF,WEY,18,95.0,1195
WAT2WEY,ANF,WOO,14,69.0,1162
WAT2WEY,ANF,WRM,13,62.0,1195
WAT2WEY,BCU,BCU,1,2.0,1
WAT2WEY,BCU,BMH,1,17.0,28261
WAT2WEY,BCU,BSM,2,25.0,19852
WAT2WEY,BCU,CHR,2,15.0,10647
WAT2WEY,BCU,DCH,10,67.0,28390
WAT2WEY,BCU,FRM,1,1.0,1
WAT2WEY,BCU,HAM,5,38.0,28390
WAT2WEY,BCU,HNA,3,14.0,2348
WAT2WEY,BCU,HOL,7,46.0,11451
WAT2WEY,BCU,MTN,10,64.0,18736
WAT2WEY,BCU,NWM,1,8.0,12634
WAT2WEY,BCU,PKS,3,28.0,19853
WAT2WEY,BCU,POK,3,19.0,10629
WAT2WEY,BCU,POO,4,32.0,28390
WAT2WEY,BCU,SWY,1,5.0,2344
WAT2WEY,BCU,UPW,12,78.0,18796
WAT2WEY,BCU,WEY,12,79.0,28390
WAT2WEY,BCU,WOO,8,56.0,21893
WAT2WEY,BCU,WRM,7,45.0,28390
WAT2WEY,BEU,BCU,1,6.0,968
WAT2WEY,BEU,BMH,7,33.0,968
WAT2WEY,BEU,BSM,8,40.0,958
WAT2WEY,BEU,CHR,5,25.0,957
WAT2WEY,BEU,DCH,15,79.0,969
WAT2WEY,BEU,HAM,11,52.0,969
WAT2WEY,BEU,HNA,4,21.0,958
WAT2WEY,BEU,HOL,12,56.0,53
WAT2WEY,BEU,MTN,14,72.0,941
WAT2WEY,BEU,NWM,3,16.0,958
WAT2WEY,BEU,PKS,9,43.0,958
WAT2WEY,BEU,POK,6,29.0,957
WAT2WEY,BEU,POO,10,46.0,969
WAT2WEY,BEU,SWY,2,12.0,958
WAT2WEY,BEU,UPW,16,86.0,942
WAT2WEY,BEU,WEY,17,91.0,969
WAT2WEY,BEU,WOO,13,65.0,956
WAT2WEY,BEU,WRM,12,58.0,969
WAT2WEY,BFN,BCU,12,71.0,1
WAT2WEY,BFN,BKO,3,4.0,1
WAT2WEY,BFN,BMH,13,93.0,1
